# Every place the manuals contradict each other or the hardware, what we do about it,
# and the one experiment that would settle it. `aslmp ambiguities` prints this table.
#
# This is the file to hand a Mitsubishi application engineer. It is not a list of
# things we have not got round to; it is the list of decisions somebody had to make on
# incomplete evidence, with the evidence attached.
#
# readings   the mutually exclusive answers, '|' separated, at least two.
# chosen     what this library actually DOES. Sometimes that is neither reading but
#            "refuse", which is the right answer when guessing wrong would move a
#            machine.
# status     open | resolved_by_measurement | resolved_by_choice.
#
# A resolved_by_measurement row carries the CPU and firmware in the provenance tail.
# It is resolved for THAT silicon and that firmware, and for nothing else: everything
# we know about PLC pathology is n=1.
key	question	readings	chosen	reason	probe	status	provenance	cpu	firmware	measured	manual	revision	section	note
A-ENTRY-RELEASE-RACE	How long after a client closes its TCP connection is the SLMP connection entry unavailable to the next connect to it?	It is held for a fixed period after the close -- about 50 ms, diagnosed by an outside reviewer from a bench script that could not reconnect at all|It is not held for any period: the CPU releases the entry as it processes the FIN, so an immediate reconnect races that processing -- about 2 ms on our wired link, and invisible over Wi-Fi -- observed	The second. Nothing in the library waits, retries or backs off: SlmpConnectionEntryBusyError still raises, and it now names both causes, the measured window and the settle that fixes the self-inflicted one. The benchmark scripts and `aslmp bench` take a named 5 ms settle (aslmp.tools.bench.ENTRY_RELEASE_SETTLE_S) before connecting to an entry they just released.	Measured from argus-bench, wired, same /24, median RTT 3.64 ms, six trials per gap: a clean close() followed by a reconnect to the same entry succeeded 1/6 at a 0 ms gap, 2/6 at 1 ms, and 6/6 at 2 ms and at every gap up to 200 ms. From the laptop over Wi-Fi (median RTT ~7 ms) the same test was 30/30 at every gap including 0 ms, which is why the failure reproduces on wire and not on Wi-Fi: the link latency alone already exceeds the window. What has to elapse therefore tracks the LINK and not the clock, which is what racing the CPU's own FIN processing would look like from outside rather than a fixed hold period -- an inference from these timings, not something we can see inside the CPU, and a scan-cycle boundary would fit the same table. Either way the window is LINK-DEPENDENT, so a faster link is EXPECTED to widen it; that direction is a prediction and 3.64 ms is the fastest link we have. 2 ms is what this CPU did on this link from this host on this day, not a guarantee and not a spec value. Note the two rows also differ by HOST, not only by link, so a same-host wired-and-wireless pair is the experiment that would isolate latency and it has not been run. Teardown shape was NOT distinguished: close(), shutdown(RDWR) then close(), and an abrupt RST via SO_LINGER 0 all reconnected cleanly, but that comparison ran over Wi-Fi, where a clean close() at a 0 ms gap already succeeds 30/30 -- on that link nothing could have failed, so it rules nothing out and wants repeating on wire. The one teardown that did fail intermittently was a socket dropped without close() and left to the garbage collector.	Settled for FX5U on this link, and only for this link. Repeat it on a faster one -- a gigabit switch at sub-1 ms RTT, or a client on the CPU's own segment -- where the window should be WIDER, and record the smallest gap that is clean 6/6 there. A single trial proves nothing: at a 1 ms gap this CPU succeeded twice in six. Two other things are unmeasured: repeat the teardown-shape comparison ON WIRE, where it could actually fail, and run the wired/wireless pair from ONE host so link latency is the only variable that moved.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-07				This is the correction to the 'the slot was free again immediately after it closed' sentence in A-ONE-TCP-CONNECTION: free to the CPU, not yet free to a client that asks within about 2 ms. It is also why an outside reviewer could not run bench/transports.py at all -- the raw-socket control released the entry and the client connected microseconds later. A 300 ms settle would work and would be 150x more than the measurement supports.
A-FX5-EXT-CODE	Is the FX5 module-access extension specifier F8H or F9H?	F8H -- SH(NA)-080956ENG-M for U[n]\G|F9H -- the FX5 appendix	Unresolved; the extension subcommand (0x0080) is not implemented, so nothing in the library emits either byte.	It only matters for buffer-memory access on FX5, which is out of scope for v1. Shipping a guess would put an unverifiable byte on the wire for no benefit.	0401 with subcommand 0080 against U0\G0 with each code; exactly one should answer.	open	manual				SH(NA)-080956ENG	M	Device memory extension specification	
A-FX5S-MODEL-CODES	Which FX5S models do the codes 4B55H-4B58H identify?	FX5S-30/40/60MT/ES and FX5S-80MT/ES|FX5S-30/40/60MT/ES and FX5S-80MT/ESS, as the survey extract of p.110 reads	The first: 4B58H is recorded as FX5S-80MT/ES. The codes are the manual's; the model NAMES for these four rows are ours.	The second reading cannot be right, because 4B5CH-4B5FH are already the 30/40/60/80 MT/ESS block, so 4B58H cannot also be 80MT/ESS. The four rows are shipped with provenance=inferred rather than dropped, because dropping them would make a real FX5S fail to identify.	Re-read JY997D56001-K p.110 from a rendered page image, or run `aslmp identify` against an FX5S and compare.	open	manual				JY997D56001	K	Appendix, CPU module model codes (p.110)	
A-IQF-4E	Does the FX5 built-in Ethernet port accept 4E frames on a connection entry configured as 3E?	No -- JY997D56001-K 2.1 lists applicable frames as 3E and 1E only|No -- JY997D56201-B p.25 says communication is possible by SLMP 3E frames|Yes -- observed	Default to 3E, permit 4E on iQ-F. The acceptance is labelled as observed on one CPU and one firmware, and is not contractual.	A well-formed 4E binary 0401 returned a 4E response with serial 0x1234 echoed correctly as 34 12, on a connection explicitly configured 3E. Two Mitsubishi manuals say that is impossible. The CPU evidently dispatches on the subheader rather than on the entry's frame parameter. This matters more than it looks: 4E carries a serial, and the serial is the only in-band defence against the TCP coalescing corruption, which on 3E is undetectable.	Ask MEAU whether the behaviour is intentional. If it is, defaulting to 4E on iQ-F would turn a silent wrong-data failure into a loud SlmpSerialMismatchError and is the largest correctness win still available.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-IQF-MONITOR	Are 0801 Monitor Registration and 0802 Execute Monitor usable on an iQ-F?	No -- JY997D56001-K's command list does not list them for the FX5 CPU|No, and the refusal is 0xC059 rather than 0xC05D -- observed	Capability-gated off on every iQ-F profile. monitor_register() raises SlmpCapabilityError citing the measurement, pre-transport. It is never emulated with a 0403 substitution.	Both 0801 and 0802 returned 0xC059 (command or subcommand cannot be used by this CPU), measured twice through independent code paths. 0802 returning 0xC059 rather than 0xC05D is useful: there is no way to mistake it for 'you forgot to register'. Silently substituting a Read Random for a requested monitor would be exactly the kind of substitution this library refuses.	Settled for FX5U. The positive iQ-R path -- registration lifetime, whether it is per connection or global, what two concurrent clients do -- has never been tested by anyone here.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-IQF-XY	For an iQ-F, does the X/Y device-number field carry the linear index of the octal literal, or the octal digits reinterpreted as hexadecimal?	Linear index -- Y45 goes on the wire as 0x25 (JY997D56001-K's 1E examples, written fresh for FX5 in rev G, and the device-table footnote)|Octal digits as hex -- Y27 goes on the wire as 0x27 (JY997D56001-K's 3E binary examples on p.79 and p.86)	Linear index. parse_address treats X and Y as base 8 on iQ-F and transmits the integer value.	Measured directly: writing a single bit at wire number 0, 8 and 16 lit linear output positions 0, 8 and 16. So GX Works3 Y20 (the 17th output) is 16 on the wire. The rev K 3E binary examples are traceable to un-recomputed copy-paste: rev D/E of the same manual prints the identical byte strings under Q-series hexadecimal captions (Y2F, X2F, Y17F). Those examples are excluded from the golden-vector corpus, with the exclusion recorded as data rather than as silence.	Settled. The original probe was: force a known pattern on physical outputs, batch-read 16 bits from head 0 with device code 0x9D, and see which linear position moved.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-07				
A-IQR-CPU-CODES	What do the individual iQ-R end codes in the 0x4000-0x4FFF block mean?	The same as the FX5 codes of the same value, per JY997D55401 Appendix 3|iQ-R specific, per SH(NA)-081264ENG, which we have not read	The FX5 meanings are shipped for the codes JY997D55401 documents. Any 0x4000-0x4FFF code not in the table raises SlmpCpuError with 'undocumented end code', the code formatted 0x%04X, and a request to report it with the CPU model and firmware.	SH(NA)-081264ENG was never obtained. Inventing iQ-R meanings from the FX5 manual would be exactly the sort of plausible-looking fabrication the citation rule exists to prevent.	Source SH(NA)-081264ENG (MELSEC iQ-R CPU Module User's Manual (Application)) and add the rows.	open	manual				JY997D55401	unknown	Appendix 3, Error codes of the CPU module (4000H to 4FFFH) (p.593)	
A-LONG-SPEC-BYTE-ORDER	In the 2-byte (subcommand 0002/0003) binary device code, which byte goes first?	9C 00 for X -- SH(NA)-080956ENG-M p.35/38 and SH(NA)-080008-AB p.68 write the code as 009CH|00 9C for X -- JY997D56001-K p.36/66 writes it as 9C00H and draws the wire that way	9C 00, per SH(NA)-080956ENG. Moot on iQ-F, which refuses subcommand 0002 outright.	Exactly reversed between two Mitsubishi documents. pymcprotocol 0.3.0 implements 9C 00 and is reported working against iQ-R. JY997D56001-K contains no worked byte-level example using the long format anywhere, so its figure cannot be cross-checked inside its own manual.	iQ-R only: send 0401 subcommand 0002 for D0 with device code bytes 9C 00, then with 00 9C. Exactly one should return 0x0000. Our FX5U cannot answer this -- subcommand 0002 returned 0xC059.	open	manual				SH(NA)-080956ENG	M	5.2 p.35, p.38	
A-LOOPBACK-CHARSET	Does 0619 Self Test really reject loopback data outside '0'-'9' and 'A'-'F'?	Enforced -- both manuals restrict loopback data to those characters|Not enforced -- the CPU echoes whatever it is given	Codec.loopback_payload_ok refuses non-hex payloads client-side, including our own defaults. The connect handshake sends b'0619' plus four hex digits of a per-generation nonce; self_test() defaults to b'ABCD'.	b'ABCD' (41 42 43 44) is the exact payload proven on the bench, so the default is a measured value rather than a guess. Whether the restriction is enforced is unknown, and shipping a default that violates a documented constraint would be indefensible either way.	Send 0619 with b'ZZZZ' and record whether it echoes, errors, or is silent.	open	manual				SH(NA)-080956ENG	M	Self Test (0619), loopback data	
A-MONITORING-TIMER	Does the FX5 CPU built-in port honour, ignore or reject a non-zero monitoring timer?	Rejected or required to be 0000H -- JY997D56001-K p.27 says to specify 0000H for the CPU module|Accepted and inert -- observed	MonitoringTimer.INDEFINITE (0x0000) is the default. Non-zero values are allowed and never imply the client-side deadline.	0x0000, 0x0010, 0x0028 and 0x00F0 all returned 0x0000 with correct data and statistically indistinguishable latency (p50 6.99 ms vs 7.14 ms over 200 transactions each). The field is neither rejected nor honoured in any way we can observe from outside.	Settled for FX5U. On an Ethernet module the timer is documented to do something; untested.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-ONE-TCP-CONNECTION	What happens to a second TCP connection to the same SLMP connection entry?	It is refused at the TCP layer|The TCP handshake SUCCEEDS and the CPU then immediately sends a FIN, leaving the incumbent undisturbed -- observed	A zero-byte read on the first read of a generation raises SlmpConnectionEntryBusyError, and connect() additionally does a non-blocking EOF check before sending a byte. Connection pooling is not offered.	connect() on a second socket returned success in 5.4 ms, then recv() returned 0 bytes before anything was sent. The first connection kept working, and the slot was free again immediately after it closed. A client that treats 'connected' as 'ready' reports a healthy connection that dies on its first transaction, and one with reconnect logic spins.	Settled for FX5U with this entry's connection count. The FX5U's eight-connection budget is shared across all SLMP, MELSOFT, socket and predefined-protocol entries, so the number is a configuration fact, not a CPU fact.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-REMOTE-FIXED	What are the two fixed bytes after the subcommand in 1002 Remote Stop, 1005 Remote Latch Clear and 1006 Remote Reset?	01 00 -- SH(NA)-080956ENG-M p.133/135/136, and what pymcprotocol 0.3.0 sends|00 00 -- JY997D56001-K p.106/107/108	profile.remote_fixed_field: 00 00 on iQ-F, 01 00 on the SLMP-REF families. Never guessed, never retried in the other value.	Both readings were confirmed from rendered page images, not from a text layer, so this is a genuine difference between two Mitsubishi documents rather than an extraction artefact. The family-specific manual wins for its own family. Historically (SH(NA)-080008) the field is a Mode fixed at 0001H, which is why 01 00 has evidently worked in the field on Q/L.	FX5U in STOP with a scratch program: send 1002 with 01 00 and record the end code, then repeat with 00 00. We deliberately never sent any CPU-state command to the bench, so this is untested by us in both directions.	open	manual				JY997D56001	K	6.2/6.4/6.5 Remote Stop / Latch Clear / Reset (p.106-108); SH(NA)-080956ENG-M p.133/135/136 for the other reading.	
A-STEP-RELAY-COLUMNS	Which ASCII mnemonic and device code belong to the step relay S in each device specification format?	S*/98H short and S***/0098H long -- SH(NA)-080008-AB p.68 and JY997D56001-K p.66|S**/98H and (S***)/(0098H) -- SH(NA)-080956ENG-M p.36 prints this row's two columns swapped relative to every other row	S*/0x98 short, S***/0x0098 long, per SH(NA)-080008.	Two of the three documents agree and follow the pattern every other row in the same table follows. The device code value 0x98 is not in doubt; only the ASCII padding is, and only in one document.	Low priority. Send an ASCII 0401 for S0 with 'S*' and with 'S**' once an ASCII entry exists.	open	manual				SH(NA)-080956ENG	M	5.2 p.36	
A-TCP-COALESCING	What does an FX5 do when two SLMP messages arrive in one TCP segment?	Both are processed, in order|Only the LAST is processed and the rest are discarded with no error -- observed	At most one transaction in flight per TCP connection, enforced structurally by a single-use capability token rather than by convention. There is no public method anywhere in the package that puts bytes on a socket.	Two 3E requests written back to back produced one response, and it answered the SECOND request. With 4E the serials made it unambiguous: three coalesced requests returned one response bearing the third serial, four returned the fourth. On 3E there is no correlation field at all, so the client pairs that response with the first request and a setpoint read returns a scan counter -- no error, no end code, no timeout, just wrong data, and the connection recovers afterwards so nothing alerts you. UDP does not have this failure, because datagrams are framed.	Settled for FX5U.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-TS-IN-RANDOM	Will a PLC reject the device types the manual forbids in Read Random?	Yes -- JY997D56001-K p.78 says TS, TC, STS, STC, CS and CC must not be used in Read Random and predicts CPU error 0x4032|No -- observed	The client refuses TS, TC, STS, STC, CS, CC, LCS and LCC in random and monitor commands. We refuse what this PLC would have allowed.	A 0403 with one word point at TS0 (device code 0xC1) returned end code 0x0000 and one word of data. The CPU accepted a request its own manual forbids. Any design that leans on the PLC to reject illegal requests inherits whatever that particular firmware happens to do.	Settled for FX5U.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-UDP-PIPELINE-DEPTH	How deep can requests be pipelined on a UDP connection entry before the CPU starts dropping them?	Unbounded, since datagrams are independently framed|Clean to 32, roughly 31 percent lost at 64, with no error of any kind -- observed	UDP pipelining is offered only with 4E serials, with a configurable and conservatively defaulted in-flight cap. A serial that never comes back raises. 3E over UDP is never pipelined.	Bursts of 8 and 32 4E reads returned every response in order (363 txn/s at depth 32, against about 135 txn/s for serial TCP). A burst of 64 returned 44 of 64 with no end code, no ICMP and nothing else: the client only learns by timing out on a serial. Positional matching plus real loss equals silently mismatched replies, which is the TCP coalescing bug in a different costume.	Settled for FX5U on one Wi-Fi link. The threshold is a property of the CPU's receive path and the network, and will differ elsewhere.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-XY-OCTAL-LEGALITY	Does an FX5 reject an X/Y literal containing the digits 8 or 9, which octal notation cannot express?	The PLC rejects it, because Y8 is not an address the CPU has|The PLC accepts it and writes somewhere -- observed	parse_address raises SlmpDeviceRadixError for any 8 or 9 in an X/Y literal on an iQ-F. The client is the only thing that will refuse it.	Writing a bit at wire number 8 for Y returned end code 0x0000 and succeeded. Y8 and Y9 do not exist under octal notation. This is the second confirmed case of this CPU accepting a documented-illegal address, the first being a TS point in a Read Random, and together they are the reason client-side validation is treated as load-bearing rather than as a convenience.	Settled.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-07				
A-ZERO-POINT-COUNT	What does a request for ZERO device points return?	An address error (0xC056), which is where the doc-derived mapping put it|0xC052, a word point-count error -- observed	0xC052. Commands validate a zero point count client-side and raise SlmpPointLimitError before sending.	0 word points from D0 returned 0xC052 on the bench. Zero points is a point-count problem, not an address problem, and the classification changes which exception subclass a caller catches.	Settled for FX5U.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-ZR-RADIX	Is the ZR file-register device number hexadecimal or decimal?	Hexadecimal -- SH(NA)-080956ENG-M p.36 and SH(NA)-080008-AB p.68|Decimal -- JY997D56001-K p.67	Hexadecimal, per SH(NA)-080956ENG.	Moot on iQ-F, where ZR does not exist at all (ZR0 returned 0xC05C on our FX5U), so the FX5 manual is describing a device its own CPU does not have. Every third-party library we surveyed also treats ZR as hexadecimal.	iQ-R only. Write known values to ZR0 and ZR16 from GX Works3, then read ZR16 over SLMP with device number 0x10 and with 0x16 and see which returns it.	open	manual				SH(NA)-080956ENG	M	5.2 p.35-36	
